JUNGLESCOUT KEYWORD SCOUT CSV EXPORT
Report Generated at: 2023-06-19 18:47:44 UTC
"Search Term(s): '[""splash filter sink faucet aerator""]'"
Keyword,30-Day Search Volume (Exact),30 Day Trend,90 Day Trend,30-Day Search Volume (Broad),Category,Recommended Promotions,PPC Bid (Exact),PPC Bid (Broad),Ease to Rank,Relevancy Score,Organic Product Count,Sponsored Product Count
faucet splash,450,104%,219%,44494,Tools & Home Improvement,0,$2.42,$1.69,Somewhat Difficult,12,30000,36
faucet sink extender,450,104%,219%,900,Tools & Home Improvement,14,$1.86,$1.19,Easy,36,30000,38
faucet sink attachment,450,17%,120%,540,Tools & Home Improvement,0,---,---,Easy,11,10000,18
faucet sink adapter,450,104%,63%,900,Tools & Home Improvement,9,$2.17,$1.11,Easy,11,2000,50
faucet shank extender,450,104%,-53%,540,Tools & Home Improvement,1,$0.60,$0.97,Easy,14,160,36
faucet screens pack,450,17%,19%,540,Tools & Home Improvement,2,$0.39,$0.39,Easy,19,1000,36
faucet screens for sinks,450,17%,157%,540,Tools & Home Improvement,3,---,---,Easy,15,1000,6
faucet screens,450,356%,180%,1350,Tools & Home Improvement,4,$0.68,$0.69,Easy,23,999,40
faucet screen replacement,450,207%,196%,1350,Tools & Home Improvement,3,$0.72,$0.72,Easy,16,779,13
faucet screen,972,63%,165%,4705,Tools & Home Improvement,4,$0.68,$0.69,Easy,21,2000,36
faucet robotic arm,450,104%,219%,540,Tools & Home Improvement,14,---,---,Easy,42,1000,36
faucet restrictor,450,194%,273%,1287,Tools & Home Improvement,9,$0.61,$0.63,Easy,16,856,42
faucet nozzle swivel,450,104%,-34%,540,Tools & Home Improvement,10,$2.37,$0.91,Easy,23,6000,36
faucet nozzle for kitchen sink,450,104%,374%,540,Tools & Home Improvement,19,---,---,Easy,16,10000,50
faucet nozzle for bathroom sink,450,104%,511%,540,Tools & Home Improvement,11,---,---,Easy,18,20000,36
faucet nozzle,987,53%,167%,8877,Tools & Home Improvement,15,$1.39,$1.06,Moderate,14,10000,36
faucet mount water filters,1825,33%,56%,2190,Tools & Home Improvement,70,$1.05,$1.08,Easy,12,10000,38
faucet mesh screen,450,104%,-40%,540,Tools & Home Improvement,9,$0.37,$0.52,Easy,16,142,42
faucet heads,450,104%,219%,1350,Tools & Home Improvement,15,$0.83,$1.10,Easy,14,10000,36
faucet head for bathroom sink,450,17%,646%,900,Tools & Home Improvement,8,---,---,Easy,11,10000,5
faucet head filter,450,104%,116%,900,Tools & Home Improvement,4,$1.24,$1.46,Easy,47,5000,36
faucet head adapter,450,104%,219%,540,Tools & Home Improvement,10,$1.40,$1.06,Easy,13,1000,36
faucet handle extender,1344,8%,200%,4195,Baby,3,$0.98,$0.77,Moderate,22,20000,39
faucet gadgets for bathroom sink,450,104%,219%,540,Tools & Home Improvement,2,---,---,Easy,21,302,36
faucet gadgets,450,104%,219%,900,Tools & Home Improvement,9,---,---,Easy,14,10000,38
faucet fountain attachment,450,104%,415%,1800,Tools & Home Improvement,5,$0.78,$0.78,Easy,26,490,36
faucet for bathroom sink extender,450,104%,87%,540,Tools & Home Improvement,11,---,---,Easy,52,3000,36
faucet for bathroom sink adapter,450,104%,219%,540,Tools & Home Improvement,8,---,---,Easy,33,8000,43
faucet flow restrictor,837,242%,199%,540,Tools & Home Improvement,10,$0.45,$0.65,Moderate,16,460,36
faucet filters,1288,237%,248%,8513,Tools & Home Improvement,56,$1.06,$1.18,Easy,12,10000,36
faucet filter screen,450,17%,486%,540,Tools & Home Improvement,5,$0.54,$0.78,Easy,26,421,36
faucet filter replacement,450,104%,219%,11483,Tools & Home Improvement,26,$0.96,$1.98,Moderate,14,5000,38
faucet filter removal tool,450,104%,511%,540,Tools & Home Improvement,1,---,---,Easy,32,456,36
faucet filter head,450,104%,511%,900,Tools & Home Improvement,3,---,---,Easy,39,5000,36
faucet filter for kitchen sink,6983,-26%,92%,18268,Tools & Home Improvement,61,$1.65,$1.53,Easy,14,9000,36
faucet filter for bathroom sink,707,36%,297%,6058,Tools & Home Improvement,55,---,---,Easy,34,4000,50
faucet filter bathroom sink,4669,39%,42%,6058,Tools & Home Improvement,57,$1.43,$0.97,Easy,30,4000,36
faucet filter adapter,450,104%,219%,900,Tools & Home Improvement,4,$0.49,$0.96,Easy,39,3000,43
faucet filter,20466,60%,233%,90694,Tools & Home Improvement,66,$1.11,$1.20,Moderate,25,10000,36
faucet face wash attachment,450,104%,219%,540,Tools & Home Improvement,7,---,---,Easy,48,134,36
faucet extention,450,17%,120%,540,Tools & Home Improvement,15,---,---,Easy,36,30000,36
faucet extension for kitchen sink,450,104%,219%,540,Tools & Home Improvement,7,---,---,Easy,38,4000,36
faucet extension for bathroom sink,796,50%,95%,955,Tools & Home Improvement,20,---,---,Easy,45,10000,36
faucet extension,3363,490%,73%,15599,Tools & Home Improvement,19,$0.68,$0.70,Easy,34,30000,37
faucet extenders,450,104%,413%,900,Tools & Home Improvement,21,$0.91,$0.95,Easy,35,40000,37
faucet extender toddler,450,104%,424%,540,Baby,13,$0.64,$0.58,Easy,15,707,48
faucet extender sprayer,450,17%,486%,900,Tools & Home Improvement,9,$0.94,$1.66,Easy,48,10000,36
faucet extender kids,643,57%,116%,4186,Baby,13,$0.84,$0.92,Easy,12,928,36
faucet extender for toddlers,15749,-6%,371%,17586,Baby,19,$0.81,$0.81,Moderate,25,768,42
faucet extender for kitchen sink,1963,80%,19%,2356,Tools & Home Improvement,10,$2.38,$1.71,Easy,30,20000,36
faucet extender for bathtub,654,49%,154%,785,Baby,12,$0.62,$0.65,Easy,19,10000,36
faucet extender for bathroom sink,5144,-51%,-37%,5594,Tools & Home Improvement,21,---,---,Moderate,34,4000,37
faucet extender aerator,450,104%,219%,34177,Tools & Home Improvement,11,---,---,Moderate,38,2000,36
faucet extender 1080,450,104%,-17%,540,Tools & Home Improvement,0,---,---,Easy,22,1000,17
faucet extender,57471,-10%,135%,175447,Tools & Home Improvement,46,$0.92,$0.95,Very Difficult,26,40000,42
faucet extend,450,104%,219%,540,Tools & Home Improvement,13,$0.79,$0.70,Very Difficult,44,1000,26
faucet end cap,450,17%,486%,540,"Patio, Lawn & Garden",11,---,---,Easy,11,736,41
faucet drinking fountain attachment,450,104%,427%,540,Tools & Home Improvement,3,$0.60,$0.60,Easy,20,221,36
faucet drinking fountain,450,104%,219%,1800,Tools & Home Improvement,1,$0.91,$0.87,Easy,11,1000,38
faucet drinking attachment,450,17%,486%,900,Tools & Home Improvement,5,---,---,Easy,18,684,6
faucet diffuser aerator,450,104%,219%,540,Tools & Home Improvement,15,---,---,Easy,24,515,36
faucet diffuser,450,104%,219%,900,Tools & Home Improvement,14,$0.73,$0.73,Easy,21,188,24
faucet converter,450,104%,219%,3150,Tools & Home Improvement,7,$0.79,$0.76,Easy,11,4000,36
faucet bubbler,450,104%,-6%,900,Tools & Home Improvement,2,$0.66,$0.74,Moderate,29,7000,37
faucet booster filter,450,104%,459%,540,Tools & Home Improvement,1,---,---,Easy,30,1000,36
faucet booster,450,104%,219%,1548,Tools & Home Improvement,2,$0.76,$0.96,Moderate,25,1000,38
faucet attachments,450,104%,511%,900,Tools & Home Improvement,12,$1.34,$1.00,Easy,32,20000,36
faucet attachment sprayer,450,37%,182%,2700,Tools & Home Improvement,14,$0.83,$1.03,Easy,12,20000,37
faucet attachment for kitchen sink,1690,146%,55%,3620,Tools & Home Improvement,11,---,---,Easy,30,7000,36
faucet attachment for bathroom sink,892,-19%,-13%,1792,Tools & Home Improvement,13,---,---,Easy,39,5000,48
faucet attachment,2104,46%,188%,47203,Tools & Home Improvement,13,$1.48,$1.04,Easy,30,20000,36
faucet aspirator,450,104%,219%,540,Baby,39,$0.48,$0.48,Easy,14,136,36
faucet arerator,450,104%,-6%,540,Tools & Home Improvement,14,---,---,Easy,26,6000,36
faucet areator replacement,450,17%,486%,540,Tools & Home Improvement,18,---,---,Easy,16,2000,6
faucet areator,450,104%,219%,1350,Tools & Home Improvement,11,$0.42,$0.85,Easy,50,6000,60
faucet angle adapter,450,104%,209%,540,Tools & Home Improvement,7,---,---,Easy,40,1000,36
faucet angle,450,104%,219%,2400,Tools & Home Improvement,11,---,---,Easy,29,9000,37
faucet airators,450,104%,219%,540,Tools & Home Improvement,21,$1.45,$0.93,Easy,33,20000,36
faucet airarator replacement,450,17%,486%,540,Tools & Home Improvement,18,---,---,Easy,16,1000,6
faucet airarator,450,17%,486%,1350,Tools & Home Improvement,13,---,---,Easy,34,6000,48
faucet air aerator,450,294%,-57%,900,Tools & Home Improvement,14,$0.48,$0.95,Easy,33,556,36
faucet aerators,3050,67%,358%,3950,Tools & Home Improvement,20,$0.79,$0.89,Moderate,30,20000,37
faucet aerator wrench,450,104%,511%,900,Tools & Home Improvement,6,$0.40,$0.75,Easy,21,934,36
faucet aerator water saving,450,284%,326%,600,Tools & Home Improvement,3,$1.10,$1.09,Easy,15,2000,38
faucet aerator tool,655,11%,120%,9436,Tools & Home Improvement,6,$0.74,$0.66,Easy,23,4000,36
faucet aerator swivel,450,104%,219%,1050,Tools & Home Improvement,12,$0.50,$1.32,Easy,51,1000,24
faucet aerator sprayer,450,104%,219%,1050,Tools & Home Improvement,12,$0.85,$0.85,Easy,27,10000,36
faucet aerator sizes,450,17%,486%,540,Tools & Home Improvement,7,---,---,Easy,21,690,4
faucet aerator size chart,450,38%,368%,540,Tools & Home Improvement,10,---,---,Easy,20,115,36
faucet aerator screen,450,104%,219%,540,Tools & Home Improvement,3,$0.42,$0.70,Moderate,26,547,48
faucet aerator replacement,3112,661%,396%,14608,Tools & Home Improvement,17,$0.54,$0.70,Moderate,21,2000,36
faucet aerator removal tool,4987,-2%,86%,8331,Tools & Home Improvement,10,$0.49,$0.58,Moderate,14,1000,36
faucet aerator male thread,450,118%,379%,540,Tools & Home Improvement,7,---,---,Easy,16,1000,38
faucet aerator male,450,104%,219%,900,Tools & Home Improvement,11,$0.51,$0.95,Easy,26,1000,36
faucet aerator kitchen sink,1996,209%,206%,2596,Tools & Home Improvement,14,---,---,Easy,31,6000,38
faucet aerator insert,450,368%,180%,540,Tools & Home Improvement,9,$0.64,$0.68,Easy,17,928,36
faucet aerator high flow,450,104%,219%,540,Tools & Home Improvement,7,$0.43,$0.58,Easy,22,701,38
faucet aerator head,450,194%,273%,540,Tools & Home Improvement,0,---,---,Easy,27,7000,5
faucet aerator for moen,450,17%,19%,900,Tools & Home Improvement,10,---,---,Easy,12,742,36
faucet aerator filter,450,104%,219%,540,Tools & Home Improvement,12,$0.86,$0.93,Easy,74,6000,38
faucet aerator female thread,450,41%,184%,900,Tools & Home Improvement,3,$0.85,$0.69,Easy,16,1000,44
faucet aerator female,630,-22%,50%,2430,Tools & Home Improvement,3,$0.72,$0.83,Moderate,12,1000,36
faucet aerator extender,450,104%,219%,540,Tools & Home Improvement,12,$0.45,$0.97,Easy,44,2000,42
faucet aerator brushed nickel,450,104%,219%,540,Tools & Home Improvement,3,$1.79,$1.29,Easy,21,430,36
faucet aerator bathroom sink,3514,339%,171%,4217,Tools & Home Improvement,16,---,---,Easy,37,3000,36
faucet aerator bathroom,450,104%,63%,4414,Tools & Home Improvement,15,---,---,Easy,42,50000,36
faucet aerator adapter kit,450,17%,72%,540,Tools & Home Improvement,5,$0.76,$0.84,Easy,11,414,6
faucet aerator adapter,733,22%,142%,1633,Tools & Home Improvement,7,$1.13,$0.82,Moderate,17,9000,36
faucet aerator 1.5 gpm,450,104%,116%,900,Tools & Home Improvement,5,---,---,Easy,14,381,36
faucet aerator,37447,25%,147%,160267,Tools & Home Improvement,24,$0.86,$0.86,Very Difficult,36,6000,36
faucet adjuster,450,104%,214%,900,Tools & Home Improvement,6,---,---,Easy,31,121,36
faucet adjustable nozzle,450,104%,198%,900,Tools & Home Improvement,7,---,---,Easy,21,2000,36
faucet add on,450,104%,219%,900,Tools & Home Improvement,6,---,---,Easy,18,100000,48
faucet adaptor for sink,450,104%,219%,540,Tools & Home Improvement,7,---,---,Easy,26,10000,25
faucet adapters for kitchen sink,1274,22%,289%,1529,Tools & Home Improvement,8,---,---,Easy,18,2000,26
faucet adapters for bathroom sink,450,104%,219%,540,Tools & Home Improvement,8,---,---,Easy,32,8000,39
faucet adapters,740,37%,182%,2914,Tools & Home Improvement,9,$0.96,$0.85,Easy,21,8000,36
faucet adapter for water filter,450,104%,219%,540,Tools & Home Improvement,3,---,---,Easy,31,5000,36
faucet adapter for bathroom sink,880,-2%,19%,1030,Tools & Home Improvement,8,---,---,Easy,30,10000,36
faucet accessories,450,104%,511%,3150,Tools & Home Improvement,12,$0.88,$0.84,Moderate,14,100000,42
faucet 360,450,104%,219%,2850,Tools & Home Improvement,12,---,---,Easy,16,60000,36
faicet extender,450,17%,486%,540,Baby,29,$0.43,$0.43,Easy,41,40000,36
facuet filter,450,104%,219%,540,Tools & Home Improvement,66,$0.49,$1.07,Easy,20,10000,36
facuet extenders,450,17%,405%,540,Tools & Home Improvement,18,---,---,Easy,34,40000,6
facette water filter,450,17%,282%,540,Tools & Home Improvement,52,---,---,Easy,14,8000,4
facet water filter,450,104%,219%,540,Tools & Home Improvement,67,$1.63,$1.58,Easy,14,10000,42
facet swivel,450,104%,217%,540,Tools & Home Improvement,12,---,---,Easy,30,704,36
facet stream,450,104%,219%,540,Tools & Home Improvement,9,---,---,Easy,23,1000,36
facet filters water head,450,104%,511%,540,Tools & Home Improvement,58,---,---,Easy,26,501,36
facet filters,450,104%,219%,900,Tools & Home Improvement,43,$0.85,$1.03,Easy,12,291,36
facet extension,1819,338%,22%,2183,Tools & Home Improvement,2,---,---,Easy,26,550,36
facet extenders,450,104%,63%,540,Tools & Home Improvement,14,$0.64,$0.61,Easy,37,40000,36
facet extender,450,104%,219%,540,Baby,30,$0.63,$0.75,Easy,29,40000,38
facet attachment for sink,450,17%,207%,540,Tools & Home Improvement,5,---,---,Easy,26,10000,36
facet attachment,450,104%,502%,1350,Tools & Home Improvement,13,---,---,Easy,31,369,40
facet airrater,450,104%,-26%,540,Tools & Home Improvement,17,---,---,Easy,34,6000,36
facet adapters,450,104%,219%,540,Tools & Home Improvement,9,---,---,Easy,25,559,36
face water filter,450,104%,219%,540,Tools & Home Improvement,56,---,---,Easy,17,564,38
face washing faucet,450,104%,219%,900,Tools & Home Improvement,9,---,---,Easy,52,1000,42
face wash sink attachment,450,104%,362%,540,Tools & Home Improvement,3,---,---,Easy,35,122,38
face wash faucet attachment,450,104%,174%,540,Tools & Home Improvement,14,---,---,Easy,60,143,36
face wash faucet,450,104%,219%,900,Tools & Home Improvement,3,---,---,Easy,42,450,36
face filter water,450,17%,157%,540,Tools & Home Improvement,42,---,---,Easy,12,469,36
extensor grifo,450,194%,273%,1394,Tools & Home Improvement,0,---,---,Easy,23,727,6
extensor de grifo giratorio,450,104%,264%,540,Tools & Home Improvement,10,---,---,Easy,36,510,36
extensor de grifo,944,95%,127%,1394,Tools & Home Improvement,11,---,---,Easy,34,904,36
extension faucet,1014,112%,110%,2814,Tools & Home Improvement,9,$1.25,$0.73,Somewhat Difficult,38,7000,36
extension de grifo,450,104%,-37%,540,Tools & Home Improvement,0,---,---,Easy,26,1000,0
dual thread faucet aerator,450,104%,-45%,540,Tools & Home Improvement,10,$0.68,$0.84,Easy,22,694,36
delta sink toddler,450,17%,486%,540,Baby,6,---,---,Easy,12,231,6
delta kitchen faucet aerator replacement,450,104%,511%,540,Tools & Home Improvement,3,---,---,Easy,14,465,0
delta kitchen faucet aerator,450,333%,439%,900,Tools & Home Improvement,1,$0.78,$0.86,Easy,14,204,36
delta faucet areator,450,17%,486%,540,Tools & Home Improvement,1,$0.96,$0.96,Easy,11,236,6
delta bathroom faucet aerator replacement,766,51%,137%,919,Tools & Home Improvement,3,---,---,Easy,16,440,2
copper water filter,450,104%,219%,600,Tools & Home Improvement,120,$1.31,$1.41,Easy,13,30000,36
comfort tide faucet,450,104%,115%,540,Tools & Home Improvement,0,---,---,Easy,24,89,26
cola faucet inverted,450,17%,29%,1350,Tools & Home Improvement,57,---,---,Easy,11,96,0
bubbler attachment,450,17%,55%,1800,"Patio, Lawn & Garden",11,$0.72,$0.59,Moderate,26,1000,35
bubble stream faucet aerator,450,104%,219%,540,Tools & Home Improvement,2,---,---,Easy,26,560,36
brushed nickel faucet aerator,450,104%,219%,540,Tools & Home Improvement,3,$2.01,$1.30,Easy,20,3000,42
bronze faucet aerator,450,104%,31%,540,Tools & Home Improvement,1,---,---,Easy,19,371,24
britta faucet attachment,450,17%,486%,540,Tools & Home Improvement,0,---,---,Easy,17,128,4
britain water,450,17%,55%,10749,Tools & Home Improvement,243,---,---,Easy,12,479,4
brita water filter faucet adapter,450,17%,282%,540,Tools & Home Improvement,13,---,---,Easy,12,189,6
brita sink filter adapter,450,104%,219%,540,Tools & Home Improvement,0,---,---,Easy,14,217,5
brita sink adapter,450,17%,486%,540,Tools & Home Improvement,16,---,---,Easy,12,198,6
brita filter sink attachment,450,104%,219%,900,Tools & Home Improvement,87,$2.16,$1.27,Easy,17,126,36
brita filter faucet attachment,450,17%,72%,540,Tools & Home Improvement,21,---,---,Easy,28,141,5
brita filter faucet adapter,521,-48%,258%,971,Tools & Home Improvement,53,$2.30,$1.38,Easy,24,174,42
brita faucet filter adapter,450,104%,511%,540,Tools & Home Improvement,14,$1.94,$1.53,Easy,12,162,36
brita faucet adapter,829,28%,91%,2700,Tools & Home Improvement,7,$0.46,$0.46,Easy,17,167,36
brita attachment for faucet,450,104%,219%,540,Tools & Home Improvement,61,$0.70,$1.28,Easy,26,137,6
brazo robotico,450,104%,180%,540,Toys & Games,1,$0.62,$0.55,Easy,13,794,42
brass filter,450,104%,219%,1800,Health & Household,4,$0.74,$0.63,Easy,12,100000,36
brass faucet aerator,450,104%,219%,540,Tools & Home Improvement,2,$0.81,$0.93,Easy,32,10000,36
booster faucet,1765,77%,209%,2215,Tools & Home Improvement,4,---,---,Easy,24,4000,36
best water filter for sink faucet,3063,127%,58%,3676,Tools & Home Improvement,54,---,---,Easy,13,4000,40
best water filter faucet,450,104%,219%,3963,Tools & Home Improvement,16,$2.43,$1.92,Easy,28,10000,36
bathtub faucet extender attachment,450,17%,19%,540,Tools & Home Improvement,45,---,---,Easy,13,2000,6
bathtub faucet extender,1140,83%,191%,2940,Baby,15,$0.74,$0.86,Easy,15,10000,42
bathtub faucet aerator,450,104%,116%,540,Tools & Home Improvement,6,$1.28,$1.59,Easy,14,6000,38
bathroom water sprayer,450,17%,593%,540,Tools & Home Improvement,24,$0.97,$1.73,Easy,21,50000,37
bathroom water filter for sink,450,344%,348%,540,Tools & Home Improvement,55,---,---,Easy,23,5000,36
bathroom water filter faucet,450,104%,511%,540,Tools & Home Improvement,3,$2.21,$1.73,Easy,15,100000,39
bathroom swivel faucet,450,104%,217%,900,Tools & Home Improvement,16,---,---,Easy,49,40000,36
bathroom sink water filter,4996,11%,14%,5995,Tools & Home Improvement,48,$1.50,$1.84,Easy,23,90000,36
bathroom sink swivel nozzle,450,104%,219%,540,Tools & Home Improvement,6,---,---,Easy,36,10000,36
bathroom sink sprayer attachment for faucet,450,344%,109%,540,Tools & Home Improvement,16,---,---,Easy,16,6000,36
bathroom sink sprayer attachment,450,104%,219%,1350,Tools & Home Improvement,10,---,---,Easy,14,10000,36
bathroom sink nozzle,450,17%,120%,900,Tools & Home Improvement,14,$1.61,$1.42,Easy,40,20000,36
bathroom sink filters,450,104%,219%,600,Tools & Home Improvement,42,---,---,Easy,32,5000,48
bathroom sink filter water faucet,2131,120%,-7%,2557,Tools & Home Improvement,44,$2.03,$1.82,Easy,29,4000,36
bathroom sink filter,14379,-8%,130%,24495,Tools & Home Improvement,11,$1.85,$1.69,Moderate,48,5000,36
bathroom sink faucet with sprayer,1414,90%,235%,3664,Tools & Home Improvement,3,$2.01,$2.26,Easy,17,100000,37
bathroom sink faucet sprayer attachment,450,104%,219%,540,Tools & Home Improvement,18,$1.31,$1.37,Easy,18,9000,37
bathroom sink faucet sprayer,450,17%,486%,3664,Tools & Home Improvement,4,$1.89,$2.08,Easy,12,100000,60
bathroom sink faucet replacement parts,1150,113%,143%,1600,Tools & Home Improvement,13,---,---,Easy,19,8000,36
bathroom sink faucet head,450,277%,187%,540,Tools & Home Improvement,11,---,---,Easy,36,8000,36
bathroom sink faucet filter,2097,145%,95%,2516,Tools & Home Improvement,46,$2.53,$1.51,Easy,32,9000,36
bathroom sink faucet extension,450,104%,219%,540,Tools & Home Improvement,10,---,---,Easy,53,3000,37
bathroom sink faucet extender,652,82%,47%,782,Tools & Home Improvement,20,$1.19,$0.96,Easy,34,4000,38
bathroom sink faucet attachment,1907,126%,317%,2357,Tools & Home Improvement,6,$1.35,$1.42,Easy,40,10000,36
bathroom sink faucet aerator,704,38%,201%,845,Tools & Home Improvement,18,$1.13,$1.29,Easy,39,3000,26
bathroom sink faucet adapter,450,104%,219%,540,Tools & Home Improvement,8,$1.31,$1.63,Easy,27,10000,48
bathroom sink extender for faucet,904,76%,211%,1085,Tools & Home Improvement,19,---,---,Easy,41,4000,40
bathroom sink extender,450,104%,134%,2456,Tools & Home Improvement,16,$0.55,$0.78,Easy,50,3000,36
bathroom sink attachment sprayer,450,104%,-12%,540,Tools & Home Improvement,6,$1.15,$1.32,Easy,16,8000,36
bathroom sink attachment for washing face,450,104%,219%,540,Tools & Home Improvement,4,---,---,Easy,40,467,37
bathroom sink attachment for faucet,715,261%,226%,1165,Tools & Home Improvement,10,---,---,Easy,47,10000,36
bathroom sink attachment,450,104%,370%,6216,Tools & Home Improvement,6,---,---,Easy,33,10000,66
bathroom sink aerator replacement,755,165%,245%,906,Tools & Home Improvement,18,$0.83,$0.99,Easy,23,1000,36
bathroom sink aerator,1920,161%,126%,3679,Tools & Home Improvement,18,$1.18,$1.07,Easy,41,3000,48
bathroom sink adjustable nozzle,450,104%,219%,540,Tools & Home Improvement,0,---,---,Easy,21,3000,6
bathroom sink adapter,450,104%,219%,3150,Tools & Home Improvement,4,---,---,Easy,21,20000,48
bathroom filter faucet,450,17%,157%,3031,Tools & Home Improvement,16,---,---,Easy,31,5000,42
bathroom faucet water filter,450,368%,274%,540,Tools & Home Improvement,84,$1.87,$1.73,Easy,14,100000,48
bathroom faucet swivel adapter,450,17%,72%,540,Tools & Home Improvement,13,---,---,Easy,43,2000,36
bathroom faucet sprayer attachment,712,-26%,242%,1162,Tools & Home Improvement,15,$1.16,$1.45,Easy,13,20000,60
bathroom faucet sprayer,450,104%,219%,11309,Tools & Home Improvement,2,$1.93,$2.25,Easy,14,90000,36
bathroom faucet nozzle,450,104%,219%,900,Tools & Home Improvement,11,---,---,Easy,28,20000,45
bathroom faucet head replacement,450,104%,219%,540,Tools & Home Improvement,12,$1.08,$1.17,Easy,11,2000,36
bathroom faucet head,450,104%,219%,1350,Tools & Home Improvement,9,---,---,Easy,25,10000,36
bathroom faucet filter replacement,450,17%,405%,540,Tools & Home Improvement,14,---,---,Easy,27,2000,6
bathroom faucet filter,4133,23%,68%,7580,Tools & Home Improvement,46,$1.47,$1.62,Easy,35,5000,39
bathroom faucet extension,450,356%,180%,900,Tools & Home Improvement,11,---,---,Easy,31,20000,42
bathroom faucet extender attachment,450,104%,217%,540,Tools & Home Improvement,11,---,---,Easy,50,4000,36
bathroom faucet extender,4421,10%,65%,6423,Tools & Home Improvement,33,$1.73,$0.99,Easy,58,5000,48
bathroom faucet attachment swivel,450,104%,484%,540,Tools & Home Improvement,12,---,---,Easy,54,1000,54
bathroom faucet attachment,1013,12%,170%,4982,Tools & Home Improvement,12,$1.42,$1.34,Easy,38,20000,36
bathroom faucet aerator replacement,1258,78%,314%,2902,Tools & Home Improvement,14,$1.09,$1.09,Easy,24,1000,37
bathroom faucet aerator female,450,104%,219%,540,Tools & Home Improvement,3,$1.28,$1.18,Easy,16,1000,42
bathroom faucet aerator,2580,-39%,56%,8989,Tools & Home Improvement,18,$1.15,$1.15,Easy,37,3000,36
bathroom faucet adjustable nozzle,450,104%,219%,540,Tools & Home Improvement,8,---,---,Easy,16,3000,38
bathroom faucet adapter,934,172%,171%,3184,Tools & Home Improvement,6,$1.14,$1.43,Easy,33,5000,44
bathroom faucet accessories,450,104%,219%,1350,Tools & Home Improvement,13,$1.97,$1.50,Easy,13,60000,36
bathroom aerator,450,104%,219%,12414,Tools & Home Improvement,15,$1.12,$1.22,Easy,34,3000,36
bath tub faucet extender,817,40%,199%,980,Baby,14,$0.49,$1.58,Moderate,14,5000,36
bath faucet filter,884,51%,141%,3584,Tools & Home Improvement,7,$1.52,$1.38,Easy,12,2000,54
bath faucet extender,450,410%,261%,1267,Baby,10,$0.77,$0.91,Easy,27,9000,36
bath faucet aerator,450,104%,219%,540,Tools & Home Improvement,15,$1.14,$0.90,Easy,23,10000,36
bath faucet adapter,450,17%,486%,900,Tools & Home Improvement,4,---,---,Easy,11,2000,36
bath extender,450,17%,29%,3150,Baby,46,$0.53,$0.76,Easy,11,20000,6
bath ball faucet filter,450,104%,219%,1800,Tools & Home Improvement,10,$1.52,$0.87,Easy,24,942,36
aquaduck faucet extender,450,498%,173%,540,Baby,5,$0.47,$0.47,Easy,24,87,24
anti splash faucet attachment,450,17%,405%,540,Tools & Home Improvement,2,---,---,Easy,43,528,36
anti splash faucet,450,17%,646%,900,Tools & Home Improvement,1,$0.78,$0.97,Easy,18,8000,6
anti scald faucet attachment,450,284%,326%,540,Tools & Home Improvement,2,$1.18,$1.18,Easy,13,126,26
angled faucet head,450,104%,219%,540,Tools & Home Improvement,7,---,---,Easy,11,1000,36
angled faucet adapter,450,104%,219%,540,Tools & Home Improvement,2,---,---,Easy,30,936,36
angle faucet adapter,450,104%,214%,540,Tools & Home Improvement,3,---,---,Easy,45,1000,44
american standard aerator replacement,450,104%,-40%,540,Tools & Home Improvement,2,$1.03,$1.03,Easy,12,230,0
altered nozzle for faucet,450,17%,486%,540,Tools & Home Improvement,16,---,---,Easy,11,62,4
alsiun magic faucet,450,104%,-34%,540,Tools & Home Improvement,10,---,---,Easy,24,96,24
aireador spray para grifo,450,7%,13%,540,Tools & Home Improvement,16,---,---,Easy,18,120,2
aireador de grifo giratorio,450,17%,646%,540,Tools & Home Improvement,4,---,---,Easy,43,786,36
aireador de grifo agua,450,68%,415%,540,Tools & Home Improvement,6,---,---,Easy,36,964,48
aireador de grifo,450,104%,219%,1800,Tools & Home Improvement,16,---,---,Easy,37,1000,48
aerators for faucets,450,104%,219%,540,Tools & Home Improvement,15,$1.29,$1.31,Easy,36,6000,30
aerator wrench for sink faucet,738,37%,439%,886,Tools & Home Improvement,5,---,---,Easy,24,932,42
aerator water,450,104%,219%,1050,Tools & Home Improvement,10,$0.99,$1.00,Easy,59,50000,36
aerator tool for sink faucet,450,38%,354%,540,Tools & Home Improvement,11,---,---,Easy,38,2000,36
aerator tool,3378,890%,2607%,109742,Tools & Home Improvement,13,$1.14,$0.94,Easy,14,2000,37
aerator spray head,450,104%,219%,900,Tools & Home Improvement,8,$0.41,$0.58,Easy,17,3000,48
aerator sink faucet,450,104%,219%,9967,Tools & Home Improvement,18,$1.73,$1.34,Easy,32,6000,38
aerator sink,776,218%,365%,17753,Tools & Home Improvement,16,$1.16,$1.17,Easy,36,6000,36
aerator screen,450,104%,219%,900,Tools & Home Improvement,1,$0.59,$1.14,Difficult,17,1000,36
aerator replacement,450,17%,486%,22721,Tools & Home Improvement,15,$1.22,$1.10,Moderate,16,6000,42
aerator kitchen faucet,450,17%,19%,2700,Tools & Home Improvement,12,$1.47,$1.37,Easy,29,20000,36
aerator key for sink faucet,1042,26%,260%,1250,Tools & Home Improvement,8,---,---,Easy,27,407,42
aerator for sink faucet female,450,17%,486%,540,Tools & Home Improvement,9,---,---,Easy,16,1000,6
